
CommandType     Name                                               Version
Function        Get-NetAdapterHardwareInfo                         2.0.0.0 
Function        Get-NetAdapterIPsecOffload                         2.0.0.0 
Function        Get-NetAdapterLso                                  2.0.0.0 
Function        Get-NetAdapterPacketDirect                         2.0.0.0 
Function        Get-NetAdapterPowerManagement                      2.0.0.0 
Function        Get-NetAdapterQos                                  2.0.0.0 
Function        Get-NetAdapterRdma                                 2.0.0.0 
Function        Get-NetAdapterRsc                                  2.0.0.0 
Function        Get-NetAdapterRss                                  2.0.0.0 
Function        Get-NetAdapterSriov                                2.0.0.0 
Function        Get-NetAdapterSriovVf                              2.0.0.0 
Function        Get-NetAdapterStatistics                           2.0.0.0 
Function        Get-NetAdapterUro                                  2.0.0.0 
Function        Get-NetAdapterUso                                  2.0.0.0 
Function        Get-NetAdapterVmq                                  2.0.0.0 
Function        Get-NetAdapterVMQQueue                             2.0.0.0 
Function        Get-NetAdapterVPort                                2.0.0.0 
Function        Get-NetCompartment                                 1.0.0.0 
Function        Get-NetConnectionProfile                           2.0.0.0 
Function        Get-NetDnsTransitionConfiguration                  1.0.0.0 
Function        Get-NetDnsTransitionMonitoring                     1.0.0.0 
Function        Get-NetEventNetworkAdapter                         1.0.0.0 
Function        Get-NetEventPacketCaptureProvider                  1.0.0.0 
Function        Get-NetEventProvider                               1.0.0.0 
Function        Get-NetEventSession                                1.0.0.0 
Function        Get-NetEventVFPProvider                            1.0.0.0 
Function        Get-NetEventVmNetworkAdapter                       1.0.0.0 
Function        Get-NetEventVmSwitch                               1.0.0.0 
Function        Get-NetEventVmSwitchProvider                       1.0.0.0 
Function        Get-NetEventWFPCaptureProvider                     1.0.0.0 
Function        Get-NetFirewallAddressFilter                       2.0.0.0 
Function        Get-NetFirewallApplicationFilter                   2.0.0.0 
Function        Get-NetFirewallDynamicKeywordAddress               2.0.0.0 
Function        Get-NetFirewallHyperVPort                          2.0.0.0 
Function        Get-NetFirewallHyperVProfile                       2.0.0.0 
Function        Get-NetFirewallHyperVRule                          2.0.0.0 
Function        Get-NetFirewallHyperVVMCreator                     2.0.0.0 
Function        Get-NetFirewallHyperVVMSetting                     2.0.0.0 
Function        Get-NetFirewallInterfaceFilter                     2.0.0.0 
Function        Get-NetFirewallInterfaceTypeFilter                 2.0.0.0 
Function        Get-NetFirewallPortFilter                          2.0.0.0 
Function        Get-NetFirewallProfile                             2.0.0.0 
Function        Get-NetFirewallRule                                2.0.0.0 
Function        Get-NetFirewallSecurityFilter                      2.0.0.0 
Function        Get-NetFirewallServiceFilter                       2.0.0.0 
Function        Get-NetFirewallSetting                             2.0.0.0 
Function        Get-NetIPAddress                                   1.0.0.0 
Function        Get-NetIPConfiguration                             1.0.0.0 
Function        Get-NetIPHttpsConfiguration                        1.0.0.0 
Function        Get-NetIPHttpsState                                1.0.0.0 
Function        Get-NetIPInterface                                 1.0.0.0 
Function        Get-NetIPsecDospSetting                            2.0.0.0 
Function        Get-NetIPsecMainModeCryptoSet                      2.0.0.0 
Function        Get-NetIPsecMainModeRule                           2.0.0.0 
Function        Get-NetIPsecMainModeSA                             2.0.0.0 
Function        Get-NetIPsecPhase1AuthSet                          2.0.0.0 
Function        Get-NetIPsecPhase2AuthSet                          2.0.0.0 
Function        Get-NetIPsecQuickModeCryptoSet                     2.0.0.0 
Function        Get-NetIPsecQuickModeSA                            2.0.0.0 
Function        Get-NetIPsecRule                                   2.0.0.0 
Function        Get-NetIPv4Protocol                                1.0.0.0 
Function        Get-NetIPv6Protocol                                1.0.0.0 
Function        Get-NetIsatapConfiguration                         1.0.0.0 
Function        Get-NetLbfoTeam                                    2.0.0.0 
Function        Get-NetLbfoTeamMember                              2.0.0.0 
Function        Get-NetLbfoTeamNic                                 2.0.0.0 
Function        Get-NetNat                                         1.0.0.0 
Function        Get-NetNatExternalAddress                          1.0.0.0 
Function        Get-NetNatGlobal                                   1.0.0.0 
Function        Get-NetNatSession                                  1.0.0.0 
Function        Get-NetNatStaticMapping                            1.0.0.0 
Function        Get-NetNatTransitionConfiguration                  1.0.0.0 
Function        Get-NetNatTransitionMonitoring                     1.0.0.0 
Function        Get-NetNeighbor                                    1.0.0.0 
Function        Get-NetOffloadGlobalSetting                        1.0.0.0 
Function        Get-NetPrefixPolicy                                1.0.0.0 
Function        Get-NetQosPolicy                                   2.0.0.0 
Function        Get-NetRoute                                       1.0.0.0 
Function        Get-NetSwitchTeam                                  1.0.0.0 
Function        Get-NetSwitchTeamMember                            1.0.0.0 
Function        Get-NetTCPConnection                               1.0.0.0 
